|title|language|certificate_no|certified_duration|type_of_film|producer_name|production_house|certificate_type|format|certificate_date|duration_in_seconds
566|INFINITE|English|VFL/2/14/2022-MUM|0 days 01:43:54|Video|Mark Huffam / Mark Wahlberg / Paramount Pictures|-|UA|1|2022-01-27|6234
567|12 MIGHTY ORPHANS|English|VFL/1/10/2022-MUM|0 days 01:59:05|Video|Brinton Bryan, Angelique De Luca, Michael De Luca, Sony Pictures|-|U|1|2022-01-27|7145
568|RAGNAROK|English|VFL/2/18/2022-MUM|0 days 01:33:34|Video|TRUSTNORDISK APS|-|UA|1|2022-02-01|5614
569|DIE IN A GUNFIGHT|English|VFL/2/19/2022-MUM|0 days 01:30:18|Video|CULMINATION PRODUCTIONS LLC|-|UA|1|2022-02-01|5418
570|THE WILD GOOSE LAKE|English|VFL/2/20/2022-MUM|0 days 01:52:38|Video|MEMNTO FILMS PRODUCTION|-|UA|1|2022-02-01|6758
571|CITY OF LIES|English|VFL/2/24/2022-MUM|0 days 01:53:41|Video|Paul Brennan, Stuart Manashil, Sony Pictures|-|UA|1|2022-02-04|6821
572|THE STRANGERS: PREY AT NIGHT|English|VFL/2/25/2022-MUM|0 days 01:15:21|Video|ANTON PICTURES|-|UA|1|2022-02-07|4521
573|UNCHARTED|English|DFL/2/7/2022-MUM|0 days 01:57:55|Theatrical|Avi Arad, Ari Arad,Sony Pictures USA|-|UA|1|2022-02-07|7075
574|DEATH OF A TELEMARKETER.|English|VFL/2/26/2022-MUM|0 days 01:27:35|Video|Meagan Good, Datari Turner, Sony Pictures|-|UA|1|2022-02-08|5255
575|THE EMPTY MAN|English|VFL/2/27/2022-MUM|0 days 02:11:03|Video|Twentieth Century Fox Film Corporation|-|UA|1|2022-02-08|7863
576|WISH UPON A UNICORN|English|VFL/2/33/2022-MUM|0 days 01:29:03|Video|Ross Kohn, Nancy Leopardi, Universal Studios|-|UA|1|2022-02-11|5343
577|DANGEROUS|English|VFL/2/34/2022-MUM|0 days 01:38:03|Video|BENJAMIN DEWALT / KEVIN DEWALT / DOUGLAS FALCONER/ GEM ENTERTAINMENT KFT|-|UA|1|2022-02-11|5883
578|HOW IT ENDS|English|VFL/2/35/2022-MUM|0 days 01:21:23|Video|ZOE LISTER-JONES/ DARYL WEIN / MGM PICTURES|-|UA|1|2022-02-11|4883
579|U JULY 22|English|VFL/2/36/2022-MUM|0 days 01:33:01|Video|TRUSTNORDISK APS|-|UA|1|2022-02-14|5581
580|HERE TODAY|English|VFL/1/17/2022-MUM|0 days 01:56:05|Video|Fred Bernstein, Fred Bernstein, Tiffany Haddish, Sony Pictures|-|U|1|2022-02-15|6965
581|JOE BELL|English|VFL/2/44/2022-MUM|0 days 01:31:31|Video|Ryan Ahrens, Eva Maria Daniels, Sony Pictures|-|UA|1|2022-02-16|5491
582|BULLETPROOF 2|English|VFL/2/47/2022-MUM|0 days 01:23:49|Video|Mike Elliott, NBC Universal Television Distribution|-|UA|1|2022-02-16|5029
583|A MOUTHFUL OF AIR|English|VFL/2/50/2022-MUM|0 days 01:46:01|Video|Mike Harrop, Amy Koppelman, Celine Rattray, Sony Pictures|-|UA|1|2022-02-17|6361
584|TWOSOME|English|VIL/3/1/2022-MUM|0 days 01:30:04|Video|Divya Baghela|Rowdy Rathore Productions|A|1|2022-02-18|5404
585|THE LOST LEONARDO|English|VFL/1/18/2022-MUM|0 days 01:37:52|Video|Andreas Dalsgaard, Christoph Jorg, Sony Pictures|-|U|1|2022-02-21|5872
586|SHOW ME THE FATHER|English|VFL/1/20/2022-MUM|0 days 01:27:59|Video|Mark Miller, Sony Pictures|-|U|1|2022-02-22|5279
587|SHOCK WAVE 2|English|VFL/2/60/2022-MUM|0 days 02:00:35|Video|UNIVERSE FILMS DISTRIBUTION COMPANY LIMITED|-|UA|1|2022-02-22|7235
588|THE BATMAN|English|DFL/2/11/2022-MUM|0 days 02:56:11|Theatrical|DYLAN CLAR, MATT REEVES, WARNER BROS.|-|UA|1|2022-02-23|10571
589|LICORICE PIZZA|English|DFL/3/2/2022-MUM|0 days 02:15:42|Theatrical|SARA MURPHY, PAUL THOMAS ANDERSON, ADAM SOMNER, UNIVERSAL STUDIOS.|-|A|1|2022-02-23|8142
590|NEVER BACK DOWN: REVOLT|English|VFL/2/64/2022-MUM|0 days 01:29:33|Video|Craig Baumgarten, Ben Jacques, David Zelon, Sony Pictures|-|UA|1|2022-02-25|5373
591|CURIOUS GEORGE 5: GO WEST, GO WILD|English|VFL/1/21/2022-MUM|0 days 01:22:23|Video|Deirdre Brenner, Universal Studios|-|U|1|2022-02-25|4943
592|FRENCH EXIT|English|VFL/2/67/2022-MUM|0 days 01:54:35|Video|Trish Dolman, Olivier Glaas, Sony Pictures|-|UA|1|2022-02-25|6875
593|THE WOLF OF SNOW HOLLOW|English|VFL/2/70/2022-MUM|0 days 01:21:05|Video|NATALIE METZGER/ MATT MILLER/ BENJAMIN WIESSNER/ MGM PICTURES|-|UA|1|2022-03-02|4865
594|BOBBLEHEADS: THE MOVIE|English|VFL/1/22/2022-MUM|0 days 01:19:46|Video|Lawrence Kasanoff, Rupak Kayastha, Universal Studios|-|U|1|2022-03-02|4786
595|DOG|English|DFL/2/15/2022-MUM|0 days 01:40:47|Theatrical|FilmNation International , LLC -||UA|1|2022-03-03|6047
596|GEHRAIYAAN|English|DIL/3/4/2022-MUM|0 days 02:28:00|Theatrical|Prashant Kunder|DHARMA PRODUCTIONS PVT LTD|A|1|2022-03-03|8880
597|THE 100 YEAR OLD MAN WHO CLIMBED OUT THE WINDOW AND DISAPPEARED|English Partly Swedish With English Sub Title|VFL/2/74/2022-MUM|0 days 01:54:04|Video|StudioCanal|-|UA|1|2022-03-07|6844
598|SAINT MAUD|English|VFL/3/3/2022-MUM|0 days 01:22:37|Video|Andrea Cornwell, Oliver Kassman, Sony Pictures|-|A|1|2022-03-08|4957
599|INFORMED INVESTORR THE THIRD UMPIRE|English|DIL/1/16/2022-MUM|0 days 01:34:09|Theatrical|Omkar Sarnobat|MARVEL ENTERPRISE U||1|2022-03-09|5649
600|ALINE|English|VFL/2/86/2022-MUM|0 days 02:07:58|Video|GAUMONT S.A.|-|UA|1|2022-03-10|7678
601|OPERATION MINCEMEAT|English|DFL/2/17/2022-MUM|0 days 02:09:19|Theatrical|FlLMNATION INTERNATIONAL LLC|-|UA|1|2022-03-10|7759
602|THE CONTRACTOR|English|DFL/3/3/2022-MUM|0 days 01:43:16|Theatrical|30 WEST/STX PRODUCTIONS LLC|-|A|1|2022-03-10|6196
603|FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE|English|DFL/2/18/2022-MUM|0 days 02:22:39|Theatrical|DAVID HEYMAN, J.K. ROWLING, STEVE KLOVES, LIONEL WIGRAM, TIM LEWIS, WARNER BROS.|-|UA|1|2022-03-11|8559
604|THE HUMAN FACTOR|English|VFL/1/24/2022-MUM|0 days 01:48:19|Video|Teddy Leifer, Dror Moreh, Sony Pictures|-|U|1|2022-03-11|6499
605|FALLING|English|VFL/2/94/2022-MUM|0 days 01:51:01|Video|PERCEVAL PICTURES LIMITED|-|UA|1|2022-03-14|6661
606|THE BAD GUYS|English|DFL/1/4/2022-MUM|0 days 01:40:18|Theatrical|DAMON ROSS, REBECCA HUNTLEY, UNIVERSAL STUDIOS.|-|U|1|2022-03-15|6018
607|AMBULANCE|English|DFL/3/4/2022-MUM|0 days 02:18:28|Theatrical|MICHAEL BAY, BRADLEY J FISCHER, IAN BRYCE, WILLIAM SHERAK, JAMES VANDERBELT, UNIVERSAL STUDIO.|-|A|1|2022-03-16|8308
608|MORTAL KOMBAT|English|VFL/2/100/2022-MUM|0 days 01:40:04|Video|James Wan, Todd Garner, E. Bennett Walsh, Warner Bros|-|UA|1|2022-03-22|6004
609|MORBIUS|English|DFL/2/19/2022-MUM|0 days 01:46:13|Theatrical|Lucas Foster, Matt Tolmach, Sony Pictures USA|-|UA|1|2022-03-22|6373
610|AMERICAN UNDERDOG|English|VFL/2/104/2022-MUM|0 days 01:51:48|Video|Mark Ciardi, Kevin Downes, Andrew Erwin, Sony Pictures|-|UA|1|2022-03-22|6708
611|THE LOST CITY|English|DFL/2/20/2022-MUM|0 days 01:54:25|Theatrical|SANDRA BULLOCK / LIZA CHASIN / SETH GORDON / PARAMOUNT PICTURES|-|UA|1|2022-03-24|6865
612|LAST CALL|English|VFL/2/109/2022-MUM|0 days 01:33:49|Video|DJ DODD/ ANTE NOVAKOVIC/ PAOLO PILLADI / MGM PICTURES|-|UA|1|2022-03-25|5629
613|DOWNTON ABBEY: A NEW ERA|English|DFL/2/24/2022-MUM|0 days 02:05:11|Theatrical|GARETH NEAME, LIZ TRUBRIDGE, JULIAN FELLOWES UNIVERSAL STUDIOS.|-|UA|1|2022-03-30|7511
614|EXORCIST: THE BEGINNING|English|VFL/2/114/2022-MUM|0 days 01:44:44|Video|James G. Robinson|-|UA|1|2022-03-31|6284
615|SONIC THE HEDGEHOG 2|English|DFL/1/5/2022-MUM|0 days 02:03:21|Theatrical|TOBY ASCHER / NEAL H. MORITZ / TORU NAKAHARA/ HITOSHI OKUNO / PARAMOUNT PICTURES|-|U|1|2022-03-31|7401
616|RISING SHAOLIN : THE PROTECTOR|English|VFL/2/116/2022-MUM|0 days 01:32:52|Video|BEIJING HAPPY PICTURES|-|UA|1|2022-03-31|5572
617|MARY|English|VFL/2/118/2022-MUM|0 days 01:22:57|Video|Sanfree, LLC /Tucker Tooley Entertainment|-|UA|1|2022-04-04|4977
618|RUN HIDE FIGHT|ENGLISH WITH ENGLISH SUBTITLES|VFL/2/117/2022-MUM|0 days 01:43:24|Video|MEDIA FINANCE CAPITAL|-|UA|1|2022-04-04|6204
619|"""UNCAGED""(DUBBED)"|English|DFL/2/3/2022-Che|0 days 01:49:58|Theatrical|Shooting Star Film company|-|UA|1|2022-04-08|6598
620|THE UNBEARABLE WEIGHT OF MASSIVE TALENT|English|DFL/3/5/2022-MUM|0 days 01:49:35|Theatrical|Nicolas Cage / Kristin Burr / Lionsgate|-|A|1|2022-04-19|6575
621|THINKING OF HIM|English|DIL/1/10/2022-DEL|0 days 01:47:37|Theatrical|Suraj Kumar|Johnsons Suraj Films international|U|1|2022-04-20|6457
622|DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS|English|DFL/2/28/2022-MUM|0 days 02:06:21|Theatrical|Kevin Feige, Buena Vista International, Inc|-|UA|1|2022-04-20|7581
623|MEMORY|English|DFL/3/6/2022-MUM|0 days 01:55:36|Theatrical|BLACK BEAR PICTURES LLC /STX FINANCING LLC|-|A|1|2022-04-21|6936
624|ADOPT A HIGHWAY.|English|VFL/2/135/2022-MUM|0 days 01:23:06|Video|Jason Blum, Greg Gilreath, Ethan Hawke, Sony Pictures|-|UA|1|2022-04-26|4986
625|POKEMON THE MOVIE VOLCANION AND THE MECHANICAL MARVEL.|English|VFL/1/31/2022-MUM|0 days 01:28:43|Video|Kenichi Arai, Susumu Matsuyama, The Pokemon Company|-|U|1|2022-04-26|5323
626|DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS - IMAX|English|DFL/2/29/2022-MUM|0 days 02:06:21|Theatrical|Kevin Feige, Buena Vista International, Inc|-|UA|1|2022-04-27|7581
627|PAW PATROL: THE MOVIE|English|DFL/1/8/2022-MUM|0 days 01:26:05|Theatrical|JENNIFER DODGE / PARAMOUNT PICTURES|-|U|1|2022-04-29|5165
628|TREMORS SHREIKER ISLAND|English|VFL/2/141/2022-MUM|0 days 01:36:28|Video|Chris Lowenstein, Todd Williams, Universal Studios|-|UA|1|2022-05-02|5788
629|TOP GUN: MAVERICK|English|DFL/2/35/2022-MUM|0 days 02:11:04|Theatrical|JERRY BRUCKHEIMER / EMILY CHEUNG / TOM CRUISE / DAVID ELLISON / PARAMOUNT PICTURES|-|UA|1|2022-05-04|7864
630|GUNPOWDER MILKSHAKE|English|VFL/2/145/2022-MUM|0 days 01:48:18|Video|STUDIO CANAL|-|UA|1|2022-05-05|6498
631|RULES DONT APPLY|English|VFL/2/146/2022-MUM|0 days 02:03:56|Video|WARREN BEATTY / REGENCY ENTERTAINMENT|-|UA|1|2022-05-09|7436
632|THE BLACK PHONE|English|DFL/3/7/2022-MUM|0 days 01:43:31|Theatrical|JASON BLUM, SCOTT DERRICKSON, C. ROBERT CARGILL, UNIVERSAL STUDIOS.|-|A|1|2022-05-12|6211
633|JURASSIC WORLD: DOMINION|English|DFL/2/36/2022-MUM|0 days 02:27:07|Theatrical|FRANK MARSHALL, PATRICK CROWLEY, UNIVERSAL STUDIOS.|-|UA|1|2022-05-13|8827
634|FIRST COW|English|VFL/1/33/2022-MUM|0 days 02:03:55|Video|A 24 INTERNATIONAL LLC/MUBI, Inc.|-|U|1|2022-05-18|7435
635|MINAMATA|English|VFL/2/162/2022-MUM|0 days 01:57:19|Video|Metalwork Pictures, Inc./Minamata Film, LLC|-|UA|1|2022-05-27|7039
636|MINIONS: THE RISE OF GRU|English|DFL/1/10/2022-MUM|0 days 01:27:36|Theatrical|CHRIS MELEDANDRI, JANET HEALY, CHRIS RENAUD, UNIVERSAL STUDIOS.|-|U|1|2022-06-03|5256
637|ELVIS|English|DFL/2/40/2022-MUM|0 days 02:41:14|Theatrical|BAZ LUHRMANN, GAIL BERMAN, CATHERINE MARTIN, PATRICK MCCORMICK, SCHUYLER WEISS, WARNER BROS.|-|UA|1|2022-06-03|9674
638|LIGHTYEAR - IMAX|English|DFL/1/12/2022-MUM|0 days 01:45:06|Theatrical|Galyn Susman, Buena Vista International, Inc|-|U|1|2022-06-06|6306
639|DINOSAUR TRAIN: ADVENTURE ISLAND|English|VFL/1/36/2022-MUM|0 days 01:22:12|Video|Gun Yoon Cheong, Terry Izumi, Universal Studios|-|U|1|2022-06-08|4932
640|A CURE FOR WELLNESS.|English|VFL/2/175/2022-MUM|0 days 02:14:56|Video|DAVID CROCKETT/ 20TH CENTURY FOX / REGENCY ENTERTAINMENT|-|UA|1|2022-06-09|8096
641|THE VIRTUOSO|English|VFL/2/180/2022-MUM|0 days 01:41:05|Video|NICK STAGLIANO / MGM PICTURES|-|UA|1|2022-06-13|6065
642|A WELCOME HOME CHRISTMAS|English|VFL/2/181/2022-MUM|0 days 01:24:03|Video|JOHNSON PRODUCTION GROUP|-|UA|1|2022-06-13|5043
643|DR MINESTEIN ADVENTURES STORY|English|DIL/1/60/2022-MUM|0 days 01:31:16|Theatrical|Sunil Prabhakar Jawale|YAGNESH FILMS|U|1|2022-06-16|5476
644|GEORGE MICHAEL FREEDOM UNCUT|English|DFL/3/8/2022-MUM|0 days 02:00:29|Theatrical|TRAFALGAR RELEASING LIMITED|-|A|1|2022-06-16|7229
645|DC LEAGUE OF SUPER-PETS|English|DFL/1/13/2022-MUM|0 days 01:45:27|Theatrical|PATRICIA HICKS, DWAYNE JOHNSON, DANY GARCIA, HIRAM GARCIA, JARED STERN, WARNER BROS.|-|U|1|2022-06-20|6327
646|LET HIM GO .|English|VFL/2/188/2022-MUM|0 days 01:50:18|Video|Thomas Bezucha, Mitchell Kaplan, Paula Mazur, Universal Studios|-|UA|1|2022-06-21|6618
647|A SUGAR AND SPICE HOLIDAY|English|VFL/1/41/2022-MUM|0 days 01:24:09|Video|Motion Picture Corporation of America|-|U|1|2022-06-21|5049
648|FIT FOR A PRINCE|English with English Subtitles|VFL/1/40/2022-MUM|0 days 01:21:34|Video|JOHNSON PRODUCTION GROUP|-|U|1|2022-06-21|4894
649|STALKED BY MY DOCTOR: JUST WHAT THE DOCTOR ORDERED|English|VFL/2/189/2022-MUM|0 days 01:21:06|Video|JOHNSONS PRODUCTION GROUP|-|UA|1|2022-06-22|4866
650|A JOURNAL FOR JORDAN|English|VFL/2/200/2022-MUM|0 days 02:09:43|Video|Todd Black, Jason Blumenthal, Michael B. Jordan, Sony Pictures|-|UA|1|2022-06-27|7783
651|UMMA|English|VFL/2/199/2022-MUM|0 days 01:22:57|Video|Sam Raimi, Sony Pictures|-|UA|1|2022-06-27|4977
652|THOR: LOVE AND THUNDER - IMAX|English|DFL/2/45/2022-MUM|0 days 01:59:01|Theatrical|Kevin Feige, Brad Winderbaum, Buena Vista International, Inc|-|UA|1|2022-06-28|7141
653|FREAKY.|English|VFL/2/205/2022-MUM|0 days 01:32:36|Video|Jason Blum, Universal Pictures|-|UA|1|2022-06-28|5556
654|THE SUNLIT NIGHT|English|VFL/2/207/2022-MUM|0 days 01:21:39|Video|BEACHSIDE FILMS LLC|-|UA|1|2022-06-29|4899
655|GATECRASH|English|VFL/2/206/2022-MUM|0 days 01:26:12|Video|Moonrise Pictures SL|-|UA|1|2022-06-29|5172
656|THE SPACE WALKER|English|VFL/1/44/2022-MUM|0 days 02:17:06|Video|BAZELEVS PRODUCTION|-|U|1|2022-06-29|8226
657|ALWAYS AND FOREVER CHRISTMAS|English|VFL/1/45/2022-MUM|0 days 01:27:14|Video|Juliette Hagopian, Sony Pictures|-|U|1|2022-07-04|5234
658|VERY VALENTINE|English|VFL/2/213/2022-MUM|0 days 01:26:05|Video|JEFF BEACH, PHILLIP ROTH, SONY PICTURES|-|UA|1|2022-07-05|5165
659|BULLET TRAIN|English|DFL/3/10/2022-MUM|0 days 02:08:03|Theatrical|Kelly McCormick ,David Leitch, Sony Pictures USA|-|A|1|2022-07-11|7683
660|KASHMIR SHAWL AND ITS RAFUGARS: A COLLECTORS JOURNEY|ENGLISH PARTLY HINDI|VIL/1/36/2022-DEL|0 days 01:13:39|Video|Aditi Desai|-|U|1|2022-07-11|4419
661|WIDOWS.|English|VFL/2/224/2022-MUM|0 days 01:58:01|Video|IAIN CANNING/STEVE MCQUEEN/REGENCY ENTERTAINMENT|-|UA|1|2022-07-13|7081
662|MEMORY|English|VFL/2/234/2022-MUM|0 days 01:53:09|Video|BLACK BEAR PICTURES LLC /STX FINANCING LLC|-|UA|1|2022-07-18|6789
663|PAWS OF FURY :THE LEGEND OF HANK|English|DFL/1/18/2022-MUM|0 days 01:38:45|Theatrical|GUY COLLINS/ YAIR LANDAU / ROB MINKOFF / PARAMOUNT PICTURES|-|U|1|2022-07-18|5925
664|THREE THOUSAND YEARS OF LONGING|English|DFL/3/11/2022-MUM|0 days 01:48:03|Theatrical|KENNEDY MILLER MITCHELL TTOYL Pty Limited|-|A|1|2022-07-21|6483
665|WONDER WOMEN|English|VIL/2/329/2022-MUM|0 days 01:19:09|Video|Eshaan Phadnis|Unilazer Ventures Private Limited|UA|1|2022-07-22|4749
666|C MON C MON|English|VFL/1/48/2022-MUM|0 days 01:49:24|Video|A 24 INTERNATIONAL LLC|-|U|1|2022-07-22|6564
667|RABINDRANATH AND VISVA BHARATI|English|DIL/1/63/2022-KOL|0 days 02:19:15|Theatrical|Sisir Kumar Sahana|-|U|1|2022-07-25|8355
668|HEADHUNTERS|English|VFL/2/248/2022-MUM|0 days 01:36:06|Video|Norsk Filminstitutt / Marianne Gray Asle Vatn|-|UA|1|2022-07-25|5766
669|MOTHER TERESA & ME|English|DIL/2/260/2022-MUM|0 days 02:02:26|Theatrical|Kamal Madhukar Musale|M/s. CURRY WESTERN MOVIES PVT. LTD.|UA|1|2022-07-25|7346
670|LETS MEET AGAIN ON CHRISTMAS EVE|English|VFL/1/50/2022-MUM|0 days 01:23:48|Video|BRK Distribution LLC|-|U|1|2022-08-03|5028
671|FEAR OF RAIN|English|VFL/2/264/2022-MUM|0 days 01:47:24|Video|GEM ENTERTAINMENT KFT -||UA|1|2022-08-03|6444
672|PANS LABYRINTH|English|VFL/2/261/2022-MUM|0 days 01:53:13|Video|TEQUILA GANG|-|UA|1|2022-08-03|6793
673|NIGHT DRIVE|English|VFL/2/258/2022-MUM|0 days 01:18:06|Video|ROCKET FULE 1|-|UA|1|2022-08-03|4686
674|COPSHOP|English|VFL/2/266/2022-MUM|0 days 01:41:08|Video|MARK WILLIAMS /STX FINANCING LLC|-|UA|1|2022-08-10|6068
675|GOOD TIME|English|VFL/2/270/2022-MUM|0 days 01:42:05|Video|MFI Sari/Hercules Films Investment Sari|-|UA|1|2022-08-11|6125
676|NOPE|English|DFL/3/15/2022-MUM|0 days 02:12:29|Theatrical|IAN COOPER, JORDAN PEELE, UNIVERSAL STUDIOS.|-|A|1|2022-08-12|7949
677|BEAST|English|DFL/2/51/2022-MUM|0 days 01:32:58|Theatrical|WILL PACKER, JAMES LOPEZ, BALTASAR KORMÁKUR, UNIVERSAL STUDIOS.|-|UA|1|2022-08-12|5578
678|QUEENPINS|English|VFL/2/275/2022-MUM|0 days 01:52:36|Video|AGS STUDIO /STX FINANCING LLC|-|UA|1|2022-08-16|6756
679|WHERE THE CRAWDADS SING|English|DFL/3/16/2022-MUM|0 days 02:05:24|Theatrical|Reese Witherspoon, Elizabeth Gabler, Sony Pictures USA|-|A|1|2022-08-18|7524
680|DRAGON BALL SUPER SUPER HERO|English|DFL/2/53/2022-MUM|0 days 01:42:16|Theatrical|Reese Witherspoon, Elizabeth Gabler, Sony Pictures USA|-|UA|1|2022-08-23|6136
681|EVERYTHING EVERYWHERE ALL AT ONCE|English|DFL/3/17/2022-MUM|0 days 02:21:35|Theatrical|A24 DISTRIBUTION LLC|-|A|1|2022-08-23|8495
682|TALES FROM THE HOOD 3|English|VFL/2/283/2022-MUM|0 days 01:29:54|Video|Griff Furst, Universal Studios|-|UA|1|2022-08-24|5394
683|WELCOME TO SUDDEN DEATH|English|VFL/2/282/2022-MUM|0 days 01:16:12|Video|Griff Furst, Universal Studios|-|UA|1|2022-08-24|4572
684|THE CONTRACTOR|English|VFL/2/286/2022-MUM|0 days 01:41:44|Video|30 WEST/STX PRODUCTIONS LLC|-|UA|1|2022-08-26|6104
685|DON’T WORRY DARLING|English|DFL/3/19/2022-MUM|0 days 02:04:08|Theatrical|OLIVIA WILDE, ROY LEE, KATIE SILBERMAN, MIRI YOON, WARNER BROS.|-|A|1|2022-08-29|7448
686|HORIZON LINE|English|VFL/2/287/2022-MUM|0 days 01:32:49|Video|STX FINANCING LLC|-|UA|1|2022-09-01|5569
687|CATCH ME IF YOU CAN|English|VFL/2/291/2022-MUM|0 days 02:15:09|Video|Steven Spielberg / Walter F. Parkes / Paramount Pictures|-|UA|1|2022-09-02|8109
688|IP MAN KUNG FU MASTER|English|VFL/2/296/2022-MUM|0 days 01:22:21|Video|All Rights Entertainment Ltd|-|UA|1|2022-09-06|4941
689|JAGATKAVI SANT TUKARAM|ENGLISH PARTLY HINDI|VIL/1/62/2022-MUM|0 days 01:20:17|Video|Poyyal Sriprakash Menon|-|U|1|2022-09-12|4817
690|CITY OF GOD|English|VFL/2/312/2022-MUM|0 days 01:48:19|Video|WILD BUNCH|-|UA|1|2022-09-16|6499
691|THE INVITATION|English|DFL/3/20/2022-MUM|0 days 01:44:59|Theatrical|Emile Gladstone, Jessica M. Thompson,Sony Pictures USA|-|A|1|2022-09-19|6299
692|MRS. HARRIS GOES TO PARIS|English|DFL/1/24/2022-MUM|0 days 01:58:09|Theatrical|ANTHONY FABIAN, XAVIER MARCHAND, GUILLAUME BENSKI, UNIVERSAL STUDIOS.|-|U|1|2022-09-19|7089
693|UNDERGROUND MONSTER|English|VFL/2/325/2022-MUM|0 days 01:31:34|Video|BEIJING RELIABLE MEDIA CO LTD|-|UA|1|2022-09-21|5494
694|CHRISTMAS COUPON|English|DFL/2/6/2022-Che|0 days 01:39:06|Theatrical|crystal creek media|-|UA|1|2022-09-22|5946
695|THE WOMAN KING|English|DFL/2/59/2022-MUM|0 days 02:16:51|Theatrical|Maria Bello,Viola Davis,Sony Picturesa USA|-|UA|1|2022-09-22|8211
696|CONAN THE BARBARIAN|English|VFL/2/334/2022-MUM|0 days 01:42:54|Video|MILLENNIUM MEDIA , INC|-|UA|1|2022-09-23|6174
697|SNIPER ROGUE MISSION|English|VFL/2/336/2022-MUM|0 days 01:28:44|Video|Rhonda Baker, Bay Dariz, Sony Pictures USA|-|UA|1|2022-09-26|5324
698|STUDIO 666|English|VFL/2/337/2022-MUM|0 days 01:31:02|Video|John Ramsay, James A. Rota, Sony Pictures USA|-|UA|1|2022-09-29|5462
699|TICKET TO PARADISE|English|DFL/2/60/2022-MUM|0 days 01:44:01|Theatrical|DEBORAH BALDERSTONE, TIM BEVAN, ERIC FELLNER, SARAH HARVEY, UNIVERSAL STUDIOS.|-|UA|1|2022-09-30|6241
700|FROZEN PLANET II|English|DFL/1/26/2022-MUM|0 days 01:40:14|Theatrical|BBC Studios Distribution Limited|-|U|1|2022-10-03|6014
701|HALLOWEEN ENDS|English|DFL/3/21/2022-MUM|0 days 01:50:45|Theatrical|MALEK AKKAD, BILL BLOCK, JASON BLUM, UNIVERSAL STUDIOS.|-|A|1|2022-10-07|6645
702|THE VANISHING A.K.A. KEEPERS|English|VFL/2/362/2022-MUM|0 days 01:45:35|Video|Sean Marley Gerard Butler Andy Evans Ade Shannon ATRIUM PRODUCTIONS KFT|-|UA|1|2022-10-12|6335
703|LYLE LYLE CROCODILE|English|DFL/1/27/2022-MUM|0 days 01:46:39|Theatrical|Josh Gordon,Hucth Parker,Sony Pictures USA|-|U|1|2022-10-12|6399
704|BLACK ADAM|English|DFL/2/62/2022-MUM|0 days 02:04:53|Theatrical|BEAU FLYNN, HIRAM GARCIA, DWAYNE JOHNSON, DANY GARCIA, WARNER BROS.|-|UA|1|2022-10-12|7493
705|WHERE THE CRAWDADS SING.|English|VFL/2/364/2022-MUM|0 days 02:01:04|Video|Reese Witherspoon, Elizabeth Gabler, Sony Pictures USA|-|UA|1|2022-10-13|7264
706|BLACK PANTHER: WAKANDA FOREVER (IMAX)|English|DFL/2/66/2022-MUM|0 days 02:41:14|Theatrical|Kevin Feige, Nate Moore, Buena Vista International, Inc|-|UA|1|2022-11-04|9674
707|PINOCCHIO|English|VFL/1/74/2022-MUM|0 days 02:06:51|Video|GEM ENTETAINMENT KFT|-|U|1|2022-11-04|7611
708|FOXTER AND MAX|English|VFL/2/371/2022-MUM|0 days 01:27:01|Video|Foundland Pictures Limited|-|UA|1|2022-11-07|5221
709|THE MENU - IMAX|English|DFL/3/23/2022-MUM|0 days 01:48:19|Theatrical|Will Ferrell, Katie Goodson, Betsy Koch, Buena Vista International, Inc|-|A|1|2022-11-11|6499
710|SMILE.|English|DFL/3/22/2022-MUM|0 days 01:56:23|Theatrical|MARTY BOWEN / WYCK GODFREY / ISAAC KLAUSNER / ROBERT SALERNO / PARAMOUNT PICTURES|-|A|1|2022-11-11|6983
711|SHE SAID|English|DFL/3/24/2022-MUM|0 days 02:11:08|Theatrical|DEDE GARDNER, JEREMY KLEINER, UNIVERSAL STUDIOS.|-|A|1|2022-11-16|7868
712|SUPER TYPHOON|English|VFL/2/375/2022-MUM|0 days 01:16:13|Video|Youku Information Technology (Beijing) Co.Ltd|-|UA|1|2022-11-18|4573
713|WRATH OF MAN.|English|VFL/2/374/2022-MUM|0 days 01:55:01|Video|Ivan Atkinson / Bill Block / Miramax Distribution services LLC|-|UA|1|2022-11-18|6901
714|MARTYRS LANE|English|VFL/2/376/2022-MUM|0 days 01:37:15|Video|Martyrs Lane Ltd|-|UA|1|2022-11-21|5835
715|BODIES BODIES BODIES|English|DFL/3/25/2022-MUM|0 days 01:36:23|Theatrical|Ali Herting, David Hinojosa, Sony Pictures USA|-|A|1|2022-11-21|5783
716|STRANGE WORLD|English|DFL/1/29/2022-MUM|0 days 01:41:47|Theatrical|Roy Conli, Buena Vista international, Inc|-|U|1|2022-11-22|6107
717|DEVOTION|English|DFL/1/30/2022-MUM|0 days 02:20:56|Theatrical|STX FINANCING LLC / STX ENTERTAINMENT|-|U|1|2022-11-24|8456
718|THE SEED CLUB|English|DIL/1/47/2022-BAN|0 days 01:32:05|Theatrical|Puja Goyal|DREAMSCOPE THEATRE|U|1|2022-11-29|5525
